FIPS,AveBMI,AvePM,NumTot,MedHVal,MedHInc,PerAsianAm,PerBlack,PerLatinx,PerWhite,FemaleUnemp,MaleUnemp,LTHS,State,ClimateRegion
39145,29.953757794558197,11.811207,61409,85000,32812,0.003142861795502288,0.028692862609715188,0.00861437248611767,0.9427282645866241,6.9,16.1,25.2,OH,ohio_valley
17143,26.602106470987696,11.509091,141601,119000,49747,0.030939047040628245,0.15041560440957338,0.03115090995120091,0.7727629042167782,7.1,7.2,15.1,IL,ohio_valley
10003,27.270712913168005,10.11598508295638,413400,252800,62474,0.04274794388001935,0.2176608611514272,0.07224963715529753,0.652114175133043,5.8,6.4,16.1,DE,northeast
13021,28.06721831894249,13.327853865785594,115428,118100,38798,0.01641716048099248,0.4826471913227293,0.02468205288144991,0.4646966074089476,7.7,9.8,26.5,GA,southeast
29013,27.90048969102123,9.159649,12795,102000,38882,0.0014849550605705354,0.009378663540445486,0.011410707307542008,0.962797967956233,3.4,9.4,29.6,MO,ohio_valley
37099,27.249043659789212,10.299218028609442,33148,163200,37190,0.008115120067575721,0.02069506455894775,0.04015325208157355,0.8417400748159768,4.1,6.6,8.7,NC,southeast
42101,28.980929422742445,10.715769411298922,1182169,135200,36251,0.06477077304513991,0.3990749207600605,0.10492493036105667,0.4112990613017259,10.6,12.1,15.3,PA,northeast
36079,28.132363908193273,8.603188929480684,76060,418100,89218,0.017643965290560084,0.02019458322377071,0.10757296870891402,0.8442413883775967,5.3,4.6,13.4,NY,northeast
27123,27.136962821431478,9.438305154672053,390147,222700,51915,0.09498983716394077,0.09162956526642523,0.05753472409117589,0.7319010526801436,6.1,7.9,13.4,MN,upper_midwest
13029,24.94327510392095,10.547879006820272,21376,187400,63244,0.015437874251497006,0.1327189371257485,0.03634917664670659,0.7994947604790419,5.2,5.4,22.2,GA,southeast
51590,28.12520660788552,10.115789,33793,89100,29936,0.008670434705412363,0.4466013671470423,0.02272660018346995,0.5131240197674074,12.9,11.5,20.3,VA,southeast
51011,28.23024300878042,9.804274,11648,132200,49224,0.002232142857142857,0.19144917582417584,0.00935782967032967,0.7866586538461539,6.8,6,5.5,VA,southeast
37015,30.09321466907737,9.040833,16846,77400,29110,0.004392734180220824,0.6059598717796509,0.009972693814555384,0.36875222604772645,17.1,6.3,24.1,NC,southeast
22053,26.911410503779678,9.597560999999999,23196,83700,42907,0.002026211415761338,0.16330401793412658,0.01573547163304018,0.8052681496809795,7.8,6.2,26.4,LA,south
13133,30.219177072369188,11.380583,12697,124300,38513,0.003701661809876349,0.3422068205087816,0.04512877057572655,0.5992754193904072,9.7,12.1,36.4,GA,southeast
31025,28.811447538247702,10.879921249185653,18848,142800,62039,0.0030241935483870967,0.002918081494057725,0.01761460101867572,0.9666808149405772,4.3,4,13.2,NE,rockies
06047,27.358388944009903,12.497619,175095,241000,43844,0.07224649475998743,0.037019903480967474,0.4934692595448185,0.37248350895228305,NA,NA,19.2,NA,NA
21157,27.89752083654316,11.436283,24908,96900,43326,0.0024891601092018626,0.0017263529789625822,0.009233981050264975,0.9787216958406938,4.6,6.2,19.5,KY,ohio_valley
37197,29.08362552141266,10.807609419201103,29468,109000,39807,0.0019343016153115244,0.029523550970544318,0.0715691597665264,0.8900162888557079,7.4,5,23.1,NC,southeast
45091,28.072113768165547,11.361812074839072,168329,158900,51925,0.014352844726695934,0.1816145762168135,0.03738512080509003,0.7497044478372711,7.1,9.2,20.2,SC,southeast
09009,27.285349257903757,8.929961766109834,669503,273300,61114,0.03378028179111968,0.10964700680952887,0.12564992240512737,0.7149437717232037,NA,NA,13.5,NA,NA
39009,26.868715530349174,9.241818,54508,114100,31559,0.029059954502091437,0.028032582373229618,0.014254788287957731,0.9095912526601599,7.7,13.4,3.2,OH,ohio_valley
36029,27.727649227026127,9.930483107920548,720096,117700,47372,0.025352175265520152,0.11925076656445807,0.036128516197840285,0.8041011198506866,6,7.8,11.6,NY,northeast
19153,27.25051624546324,10.114546545879104,320715,149700,56094,0.03402397767488268,0.05146937311943626,0.05941100353896762,0.8418034703708901,4.6,4.9,13.3,IA,upper_midwest
22037,29.517403748201755,10.052854540615233,16075,101500,35335,0.0026749611197511665,0.43527216174183514,0.009642301710730949,0.5405909797822706,10.4,15,20.2,LA,south
19171,26.228504271387756,8.063094999999999,13227,96500,46288,0.0024192938686021016,0.0018144704014515763,0.05027595070688743,0.8769184244348681,4.8,5.8,21,IA,upper_midwest
06115,28.048511391738373,5.3096831382605245,51165,224200,46807,0.06174142480211082,0.029825075735365972,0.20697742597478747,0.6439753737906773,NA,NA,17.7,NA,NA
39097,27.062072157808053,12.978656952354317,33628,146800,50533,0.005114785297965981,0.07743547044129892,0.01079457594861425,0.896663494706792,6,3.9,28.1,OH,ohio_valley
13177,26.98356839117985,12.176703,20363,145300,59811,0.020625644551392232,0.18214408485979472,0.017089819771153564,0.7696311938319501,4.9,5.4,27.8,GA,southeast
21083,27.380889722609286,11.436283,28069,83900,35277,0.003099504791763155,0.04175424845915423,0.04342869357654352,0.9021340268623749,8.3,9.9,26,KY,ohio_valley
40145,29.19438066529844,10.729167,53617,133800,55487,0.011694052259544547,0.034690489956543634,0.03627580804595557,0.7777384038644459,5.6,4.4,14.9,OK,south
37135,26.37286571345299,10.222167541293722,105832,258800,52981,0.06375198427696727,0.11643926222692569,0.0681551893567163,0.7335588479854864,5.3,6.3,7,NC,southeast
18013,27.215552456273215,11.224770999999999,12070,158500,50139,0.0024026512013256007,0.002568351284175642,0.00944490472245236,0.9748135874067937,5.1,10.7,26.7,IN,ohio_valley
36005,27.845407868515636,10.126419180114333,1016912,386200,34264,0.03591756218827195,0.304558309863587,0.5117424123227968,0.12803959437984802,11.1,11,29.9,NY,northeast
48201,27.828325017802346,11.967785218169686,2944624,131700,51444,0.06620743429381816,0.18376132232841952,0.36764286374083754,0.36868204565336693,7.3,6.2,24.7,TX,south
08005,26.432214484167044,7.0025674691947914,424679,232300,58719,0.05061469957308932,0.0925287099197276,0.15320041725632771,0.6783005517108216,NA,NA,19.1,NA,NA
45053,28.25529583101273,10.547928996211203,18636,118700,37393,0.006814767117407169,0.4518136939257351,0.12953423481433785,0.40357372826786864,9.1,9,33.4,SC,southeast
51107,26.924131521544364,10.248718,216877,495000,115574,0.14539116642152003,0.0727140268447092,0.11742600644605007,0.6413635378578642,4,3.1,11.4,VA,southeast
37077,28.576420851678545,10.175652,46583,125200,48210,0.0054740999935598824,0.3316875254921323,0.061739261103836166,0.5881115428375159,7.8,6.5,40.1,NC,southeast
45003,28.198707734451105,11.447307741552596,123271,119000,44468,0.008566491713379466,0.22953492711181056,0.04057726472568569,0.7064110780313293,6.5,8.4,25.7,SC,southeast
01101,28.95352414021446,10.765714,173196,121000,43725,0.019775283493845122,0.5195905217210559,0.03170396544954849,0.41831220120557056,NA,NA,20.9,NA,NA
27019,27.31185813710021,9.081249999999999,63837,287100,80280,0.026598994313642557,0.009900214609082508,0.03115747920484985,0.9231950122969438,3.9,4.4,15.2,MN,upper_midwest
